#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 100  45
# Band-Index    1
   1.27801    -11.890394    -11.883476
   1.26074    -11.869682    -11.863256
   1.24347    -11.849006    -11.843048
   1.22620    -11.828470    -11.822956
   1.20893    -11.808160    -11.803072
   1.19166    -11.788168    -11.783488
   1.17439    -11.768576    -11.764290
   1.15712    -11.749467    -11.745561
   1.13985    -11.730916    -11.727377
   1.12258    -11.712999    -11.709815
   1.10531    -11.695788    -11.692944
   1.08804    -11.679350    -11.676834
   1.07077    -11.663746    -11.661545
   1.05350    -11.649040    -11.647137
   1.03623    -11.635288    -11.633667
   1.01896    -11.622541    -11.621184
   1.00169    -11.610852    -11.609740
   0.98442    -11.600269    -11.599380
   0.96714    -11.590830    -11.590143
   0.94987    -11.582572    -11.582064
   0.93260    -11.575529    -11.575173
   0.91533    -11.569728    -11.569499
   0.89806    -11.565193    -11.565063
   0.88079    -11.561941    -11.561884
   0.86352    -11.559985    -11.559971
   0.84625    -11.559330    -11.559330
   0.84625    -11.559330    -11.559330
   0.82898    -11.559971    -11.559985
   0.81171    -11.561884    -11.561941
   0.79444    -11.565063    -11.565193
   0.77717    -11.569499    -11.569728
   0.75990    -11.575173    -11.575529
   0.74263    -11.582064    -11.582572
